participant,rater_1,rater_2,rater_3,rater_4,rater_5,performance_1,performance_2,performance_3,performance_4,performance_5,hire_1,hire_2,hire_3,hire_4,hire_5,expansiveness_1,expansiveness_2,expansiveness_3,expansiveness_4,expansiveness_5,gender_1,gender_2,gender_3,gender_4,gender_5,race_1,race_2,race_3,race_4,race_5,Order,Room,qualtrics,cond,Date,Time,RA,Video,Pose,Gamble,Length,Comments,Exclude.Video,Exc.Reason,StartDate,EndDate,powerful,in_charge,dominant,in_control,leader,accomplished,successful,achieving,fullfilled,self.worth,confident,productive,aware_pp,ted_pp,heard_pp,gender,race,exclude_video1,comments_video1,exclude_video2,comments_video2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1116,1092,1348,1065,NA,4,2,5,5,NA,2,3,1,2,NA,3,2,6,1,NA,2,1,1,2,NA,1,1,1,1,NA,42,1,y,AC,3/30/16,12:45,SS,Y,Y,Y,33,Asked,if,had,to,hold,position,C,the,whole,time,N,,3/30/16,13:14,3/30/16,13:15,1,1,1,1,1,2,1,1,1,2,2,2,N,N,Y,1,2,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1398,1041,1008,NA,NA,2,1,3,NA,NA,2,3,3,NA,NA,4,1,2,NA,NA,1,2,2,NA,NA,1,3,1,NA,NA,108,1,y,AE,4/8/16,11:30,RM,Y,N,Y,31,NA,N,,4/8/16,12:01,4/8/16,12:02,1,1,1,1,1,2,2,2,1,2,2,1,Y,N,Y,2,3,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1241,1005,1351,1320,NA,2,5,1,5,NA,3,2,3,1,NA,5,2,1,6,NA,2,2,1,1,NA,1,3,1,2,NA,144,1,y,AE,4/13/16,10:30,YS,Y,N,N,28,"participant asked whether she can write something down when preparing for the speech; whether she had to stay in the position; when doing the second part of the task (form impresion of five people, I forgot to check whether her head in on the frame, and when i realize it, it is already too late)",N,,4/13/16,10:56,4/13/16,10:57,3,3,3,3,3,3,3,3,3,4,4,4,Y,N,Y,2,1,N,expansive,B--standing,back,from,table,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1299,1246,1094,1018,NA,1,7,5,3,NA,3,1,1,2,NA,1,7,3,2,NA,1,2,2,2,NA,3,1,1,1,NA,29,1,y,UC,3/29/16,9:00,RT,Y,NA,N,34,Victor,was,here.,Forgot,to,put,two,tickets,out,on,table,during,descriptions.,N,,3/29/16,9:29,3/29/16,9:31,3,3,2,3,4,4,4,3,3,4,3,3,Y,N,Y,1,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1037,1229,1174,NA,NA,7,6,6,NA,NA,1,1,1,NA,NA,5,5,7,NA,NA,2,2,2,NA,NA,2,5,2,NA,NA,5,1,y,UE,3/22/16,7:15,MP,Y,NA,Y,27,Victor,was,here.,N,,3/22/16,19:39,3/22/16,19:40,3,2,3,2,3,4,3,4,3,4,3,4,N,N,N,2,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1292,1128,1147,NA,NA,4,3,5,NA,NA,1,2,1,NA,NA,4,3,6,NA,NA,1,2,2,NA,NA,1,2,1,NA,NA,30,1,y,AC,3/29/16,9:45,RT,Y,N,Y,33,"Victor was here. During speech preparation instructions, participant said ""I don't know how good the speech is going to be."" and we answered: ""It's fine."" Participatant said before survey: ""This pose really makes you feel degrated."" ",N,,3/29/16,10:16,3/29/16,10:17,1,2,2,2,2,2,2,2,1,4,2,2,Y,N,N,1,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1116,1025,1329,NA,NA,5,2,4,NA,NA,1,1,2,NA,NA,4,1,4,NA,NA,2,1,2,NA,NA,1,1,2,NA,NA,169,1,y,UE,4/15/16,4:15,MP,Y,NA,Y,27,"Participant was 7 minutes late, still let him participate. Asked for a quick drink of water before starting his speech",N,,4/15/16,16:47,4/15/16,16:48,2,2,2,3,2,3,3,3,3,4,4,4,N,N,N,1,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1152,1185,1298,1026,NA,2,5,5,3,NA,1,1,1,2,NA,4,3,5,3,NA,1,1,2,2,NA,1,3,5,1,NA,27,1,y,AE,3/28/16,5:00,YS,Y,N,N,31,NA,N,,3/28/16,17:26,3/28/16,17:28,2,3,3,3,4,3,2,3,3,4,2,3,Y,N,Y,2,1,N,standing,far,from,desk,(expansive,B),N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1056,1151,1170,1014,NA,3,3,2,5,NA,2,2,3,1,NA,5,5,2,2,NA,2,1,2,1,NA,1,1,1,1,NA,50,1,y,UE,3/31/16,9:00,SA,Y,NA,Y,31,Asked,to,hold,pose,while,preparing,for,speech,N,,3/31/16,9:27,3/31/16,9:29,4,3,3,3,5,4,4,4,5,5,4,3,N,N,N,1,2,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1340,1036,1129,1359,NA,5,5,2,2,NA,1,2,3,3,NA,1,2,1,2,NA,2,2,1,1,NA,1,2,1,1,NA,145,1,y,AC,4/13/16,11:15,YS,Y,N,Y,29,"participant asked whether the speech has to be 5 mins; asked whether he has to stay in the position; after the 1 min firming (before preparing for the speech, I accidently stopped firming, but I trun it back on right away. I labeled both part as 38_2.1 and 38_2.2)",N,,4/13/16,11:40,4/13/16,11:41,1,1,1,1,2,1,1,1,1,3,3,1,Y,Y,Y,1,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1007,1067,1050,1284,NA,2,2,2,2,NA,3,2,2,3,NA,2,3,1,4,NA,1,1,2,2,NA,1,5,2,1,NA,56,1,y,AE,3/31/16,6:30,AF,Y,Y,Y,31,Touched,neck,during,pose,video,when,speaker,touched,neck:,very,social-,lots,of,side,comments:,asked,what,to,do,if,couldn't,go,full,five,minutes-,said,speech,was,more,brutal,than,they,thought,it,would,be:,asked,how,often,people,get,through,full,five,minutes,for,speech,N,,3/31/16,18:26,3/31/16,18:59,2,1,1,2,1,3,4,4,4,4,4,3,N,N,N,2,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1020,1225,1146,1026,NA,1,4,1,2,NA,3,2,3,3,NA,1,3,1,2,NA,2,2,2,2,NA,1,1,1,1,NA,134,1,y,UE,4/12/16,1:15,IF,Y,NA,Y,23,Some,nervous,laughter,during,speech-struggled,to,reach,5,min,N,,4/12/16,13:35,4/12/16,13:37,2,1,1,1,2,2,1,1,1,1,1,1,N,N,N,2,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1179,1101,1348,1132,NA,4,6,2,2,NA,1,1,3,3,NA,2,5,3,2,NA,2,2,1,2,NA,1,1,1,1,NA,215,1,y,AE,4/21/16,5:15,IF,Y,N,Y,30,Participant,asked,how,much,time,was,left,multiple,times,during,speech.,N,,4/21/16,17:41,4/21/16,17:42,3,2,2,2,3,3,3,3,4,4,4,3,N,N,N,2,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199,1,n,UE,4/19/16,5:45,YS,N,NA,N,20,"asked what to talk about during speech, responded: dream job ",N,,4/19/16,18:00,4/19/16,18:01,5,4,5,4,5,4,5,5,5,5,5,5,N,N,N,2,2,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1152,1247,1276,1061,NA,3,3,3,5,NA,3,3,2,2,NA,3,3,2,4,NA,1,2,2,2,NA,1,1,1,1,NA,113,1,y,UC,4/9/16,1:00,HM,Y,NA,Y,24,Asked,if,speech,had,to,last,5,minutes,,had,to,be,prompted,2,times,,nervous,laughter,,N,,4/9/16,13:21,4/9/16,13:22,1,1,2,2,1,1,1,1,1,4,2,2,Y,Y,N,2,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1258,1124,1021,1203,NA,6,5,6,4,NA,1,2,1,2,NA,5,6,5,6,NA,2,1,2,1,NA,1,1,1,1,NA,57,1,y,AE,3/31/16,7:15,AF,Y,N,Y,29,Asked,how,many,people,have,come,in:,did,not,need,any,speech,prompting-could,have,gone,beyond,five,minutes,N,,3/31/16,19:00,3/31/16,19:43,5,3,4,4,4,5,3,3,4,5,5,2,N,N,Y,1,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
